timestamp,correct_alert,incorrect_alert,image_path
2024-06-24 13:42:08.237,1,0,20240624_134208.csv
2024-06-24 13:42:19.202,1,0,20240624_134219.csv
2024-06-24 13:43:31.607,1,0,20240624_134331.csv
2024-06-24 13:43:32.220,1,0,20240624_134332.csv
2024-06-24 13:43:32.732,1,0,20240624_134332.csv
2024-06-24 13:43:33.520,1,0,20240624_134333.csv
2024-06-24 13:43:34.417,1,0,20240624_134334.csv
2024-06-24 13:43:57.835,0,1,20240624_134357.csv
2024-06-24 13:49:10.050,1,0,20240624_134910.csv
2024-06-24 13:50:18.167,1,0,20240624_135018.csv
2024-06-24 13:50:18.700,1,0,20240624_135018.csv
2024-06-24 13:50:19.268,1,0,20240624_135019.csv
2024-06-24 13:50:21.352,1,0,20240624_135021.csv
2024-06-24 13:50:40.481,1,0,20240624_135040.csv
2024-06-24 13:50:42.565,1,0,20240624_135042.csv
2024-06-24 13:51:25.589,1,0,20240624_135125.csv
2024-06-24 13:51:26.434,1,0,20240624_135126.csv
2024-06-24 13:51:26.930,1,0,20240624_135126.csv
2024-06-24 13:51:27.478,1,0,20240624_135127.csv
2024-06-24 13:51:27.971,1,0,20240624_135127.csv
2024-06-24 13:52:05.893,0,1,20240624_135205.csv
2024-06-24 13:57:44.526,1,0,20240624_135744.csv
2024-06-24 13:57:44.953,1,0,20240624_135744.csv
2024-06-24 13:58:19.000,1,0,20240624_135818.csv
2024-06-24 13:58:19.475,1,0,20240624_135819.csv
2024-06-24 14:00:48.277,0,1,20240624_140048.csv
2024-06-24 14:02:25.663,0,1,20240624_140225.csv
2024-06-24 14:07:08.673,1,0,20240624_140708.csv
2024-06-24 14:07:09.155,1,0,20240624_140709.csv
2024-06-24 14:07:24.159,1,0,20240624_140724.csv
2024-06-24 14:10:07.570,1,0,20240624_141007.csv
2024-06-24 14:10:11.258,1,0,20240624_141011.csv
2024-06-24 14:10:12.488,1,0,20240624_141012.csv
2024-06-24 14:10:13.741,1,0,20240624_141013.csv
2024-06-24 14:10:15.018,1,0,20240624_141014.csv
2024-06-24 14:10:16.291,1,0,20240624_141016.csv
2024-06-24 14:10:19.680,1,0,20240624_141019.csv
2024-06-24 14:10:20.576,1,0,20240624_141020.csv
2024-06-24 14:10:21.796,1,0,20240624_141021.csv
2024-06-24 14:10:56.396,0,1,20240624_141056.csv
2024-06-24 14:14:38.356,1,0,20240624_141438.csv
2024-06-24 14:14:38.843,1,0,20240624_141438.csv
2024-06-24 14:14:39.298,1,0,20240624_141439.csv
2024-06-24 14:14:39.796,1,0,20240624_141439.csv
2024-06-24 14:14:40.300,1,0,20240624_141440.csv
2024-06-24 14:14:40.811,1,0,20240624_141440.csv
2024-06-24 14:14:57.365,1,0,20240624_141457.csv
2024-06-24 14:15:23.077,1,0,20240624_141523.csv
2024-06-24 14:15:44.516,1,0,20240624_141544.csv
2024-06-24 14:15:45.415,1,0,20240624_141545.csv
2024-06-24 14:15:46.369,1,0,20240624_141546.csv
2024-06-24 14:15:47.320,1,0,20240624_141547.csv
2024-06-24 14:15:47.857,1,0,20240624_141547.csv
2024-06-24 14:15:48.337,1,0,20240624_141548.csv
2024-06-24 14:15:48.839,1,0,20240624_141548.csv
2024-06-24 14:22:16.516,0,1,20240624_142216.csv
2024-06-24 14:22:19.029,0,1,20240624_142218.csv
2024-06-24 14:22:19.918,0,1,20240624_142219.csv
2024-06-24 14:22:20.388,1,0,20240624_142220.csv
2024-06-24 14:22:21.370,1,0,20240624_142221.csv
2024-06-24 14:22:21.856,1,0,20240624_142221.csv
2024-06-24 14:22:23.752,1,0,20240624_142223.csv
2024-06-24 14:22:46.198,0,1,20240624_142246.csv
2024-06-24 14:22:47.416,0,1,20240624_142247.csv
2024-06-24 14:22:48.672,0,1,20240624_142248.csv
2024-06-24 14:22:49.572,1,0,20240624_142249.csv
2024-06-24 14:22:50.837,1,0,20240624_142250.csv
2024-06-24 14:22:52.121,1,0,20240624_142252.csv
2024-06-24 14:22:54.493,1,0,20240624_142254.csv
2024-06-24 14:22:55.067,0,1,20240624_142255.csv
2024-06-24 14:22:55.566,0,1,20240624_142255.csv
2024-06-24 14:22:56.066,0,1,20240624_142256.csv
2024-06-24 14:23:24.397,0,1,20240624_142324.csv
2024-06-24 14:23:26.071,0,1,20240624_142326.csv
2024-06-24 14:24:09.603,0,1,20240624_142409.csv
2024-06-24 14:24:13.546,0,1,20240624_142413.csv
2024-06-24 14:24:58.905,1,0,20240624_142458.csv
2024-06-24 14:25:24.422,0,1,20240624_142524.csv
2024-06-24 14:25:55.331,0,1,20240624_142555.csv
